,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt,min_dt,activacion_dias,setup_dias,return_dias,habito_dias
5561,2022-01-13,2,MLB10001480800,0,,1,2022-01-13,0,,0,,2022-01-13,0,,,
9631,2022-01-06,1,MLB10001530370,0,,1,2022-01-06,0,,1,2022-01-13,2022-01-06,0,,7,
5035,2022-01-05,1,MLB10002487550,1,2022-01-18,1,2022-01-07,1,2022-01-08,1,2022-01-06,2022-01-05,2,3,1,13
8479,2022-01-07,1,MLB10002855700,0,,0,,0,,0,,2022-01-07,,,,
3189,2022-01-15,2,MLB10003112290,0,,0,,0,,0,,2022-01-15,,,,
3103,2022-01-19,3,MLB10003554750,1,2022-02-08,1,2022-01-19,1,2022-01-19,1,2022-01-21,2022-01-19,0,0,2,20
7609,2022-01-21,3,MLB10003698160,0,,0,,1,2022-01-22,1,2022-01-22,2022-01-21,,1,1,
2770,2022-01-02,1,MLB10004252630,0,,1,2022-01-29,1,2022-01-29,1,2022-01-29,2022-01-02,27,27,27,
4929,2022-01-19,3,MLB10004759110,0,,0,,1,2022-01-19,1,2022-01-20,2022-01-19,,0,1,
2343,2022-01-26,4,MLB10005576530,0,,1,2022-01-26,0,,1,2022-02-08,2022-01-26,0,,13,
5950,2022-01-10,2,MLB10006217790,1,2022-01-23,1,2022-01-11,1,2022-01-10,1,2022-01-11,2022-01-10,1,0,1,13
7859,2022-01-20,3,MLB10007151650,0,,0,,0,,1,2022-01-21,2022-01-20,,,1,
857,2022-01-07,1,MLB10010599840,0,,0,,1,2022-01-07,1,2022-01-08,2022-01-07,,0,1,
4609,2022-01-17,3,MLB10011098280,0,,0,,1,2022-01-17,0,,2022-01-17,,0,,
156,2022-01-28,4,MLB10011728560,0,,0,,0,,1,2022-01-31,2022-01-28,,,3,
9319,2022-01-07,1,MLB10012317080,0,,0,,0,,0,,2022-01-07,,,,
4632,2022-01-07,1,MLB10012550470,0,,1,2022-01-21,1,2022-01-07,1,2022-01-17,2022-01-07,14,0,10,
742,2022-01-04,1,MLB10013988190,0,,1,2022-01-05,0,,1,2022-01-05,2022-01-04,1,,1,
7167,2022-01-11,2,MLB10014188850,1,2022-01-16,1,2022-01-11,0,,1,2022-01-16,2022-01-11,0,,5,5
7504,2022-01-07,1,MLB10016801740,0,,1,2022-01-11,0,,1,2022-01-08,2022-01-07,4,,1,
6613,2022-01-19,3,MLB10016913090,0,,1,2022-01-31,1,2022-01-19,1,2022-01-26,2022-01-19,12,0,7,
3668,2022-01-29,4,MLB10017375090,0,,0,,0,,0,,2022-01-29,,,,
7461,2022-01-31,5,MLB10018749190,0,,1,2022-02-07,0,,1,2022-02-05,2022-01-31,7,,5,
3904,2022-01-04,1,MLB10019038820,0,,0,,1,2022-01-10,1,2022-01-05,2022-01-04,,6,1,
9577,2022-01-01,1,MLB10019564580,0,,0,,1,2022-01-01,1,2022-01-11,2022-01-01,,0,10,
1763,2022-01-19,3,MLB10020005920,0,,0,,1,2022-01-19,1,2022-01-22,2022-01-19,,0,3,
3144,2022-01-17,3,MLB10020298070,0,,0,,0,,1,2022-01-18,2022-01-17,,,1,
4010,2022-01-16,2,MLB10022447950,1,2022-01-23,1,2022-01-17,1,2022-01-16,1,2022-01-17,2022-01-16,1,0,1,7
7668,2022-01-05,1,MLB10026907000,0,,0,,0,,0,,2022-01-05,,,,
1586,2022-01-04,1,MLB10029127320,0,,0,,0,,1,2022-01-08,2022-01-04,,,4,
6103,2022-01-20,3,MLB10029630120,0,,1,2022-01-27,1,2022-01-20,1,2022-01-22,2022-01-20,7,0,2,
7791,2022-01-05,1,MLB10030921480,0,,0,,0,,0,,2022-01-05,,,,
7695,2022-01-18,3,MLB10032003530,1,2022-01-18,1,2022-01-18,1,2022-01-18,1,2022-01-20,2022-01-18,0,0,2,0
604,2022-01-22,3,MLB10032033140,0,,1,2022-01-28,1,2022-01-25,1,2022-01-25,2022-01-22,6,3,3,
6733,2022-01-06,1,MLB10033050840,0,,1,2022-01-31,0,,1,2022-01-11,2022-01-06,25,,5,
3898,2022-01-28,4,MLB10033051560,0,,0,,0,,0,,2022-01-28,,,,
2917,2022-01-04,1,MLB10033393180,0,,1,2022-01-28,1,2022-01-22,1,2022-01-05,2022-01-04,24,18,1,
1907,2022-01-31,5,MLB10034178550,1,2022-02-06,1,2022-02-03,1,2022-01-31,1,2022-02-03,2022-01-31,3,0,3,6
8664,2022-01-05,1,MLB10034591010,1,2022-02-01,1,2022-01-06,1,2022-01-06,1,2022-01-06,2022-01-05,1,1,1,27
9176,2022-01-07,1,MLB10034600780,0,,0,,0,,1,2022-01-10,2022-01-07,,,3,
3023,2022-01-16,2,MLB10035243100,0,,0,,1,2022-02-01,1,2022-01-31,2022-01-16,,16,15,
6327,2022-01-22,3,MLB10036121540,0,,1,2022-01-24,1,2022-01-24,1,2022-01-24,2022-01-22,2,2,2,
6704,2022-01-05,1,MLB10037378010,0,,0,,0,,1,2022-01-11,2022-01-05,,,6,
9944,2022-01-31,5,MLB10037398000,0,,1,2022-01-31,1,2022-01-31,1,2022-02-10,2022-01-31,0,0,10,
7586,2022-01-10,2,MLB10037876180,0,,0,,0,,1,2022-01-15,2022-01-10,,,5,
7224,2022-01-20,3,MLB10037987570,0,,0,,1,2022-01-20,1,2022-01-21,2022-01-20,,0,1,
